pdb_id,status,path,url,chain,N,selected
1XUR,cached_selected,data/raw/pdb_cache/1XUR.cif,https://files.rcsb.org/download/1XUR.cif,A,171,1
1Y33,cached_selected,data/raw/pdb_cache/1Y33.cif,https://files.rcsb.org/download/1Y33.cif,E,282,1
1H5E,cached_selected,data/raw/pdb_cache/1H5E.cif,https://files.rcsb.org/download/1H5E.cif,A,308,1
1QHC,cached_selected,data/raw/pdb_cache/1QHC.cif,https://files.rcsb.org/download/1QHC.cif,A,124,1
1X6R,cached_selected,data/raw/pdb_cache/1X6R.cif,https://files.rcsb.org/download/1X6R.cif,A,120,1
1HYB,cached_selected,data/raw/pdb_cache/1HYB.cif,https://files.rcsb.org/download/1HYB.cif,A,161,1
1FK3,cached_selected,data/raw/pdb_cache/1FK3.cif,https://files.rcsb.org/download/1FK3.cif,A,93,1
1AII,cached_selected,data/raw/pdb_cache/1AII.cif,https://files.rcsb.org/download/1AII.cif,A,328,1
1EIX,cached_selected,data/raw/pdb_cache/1EIX.cif,https://files.rcsb.org/download/1EIX.cif,C,232,1
1GF3,cached_selected,data/raw/pdb_cache/1GF3.cif,https://files.rcsb.org/download/1GF3.cif,A,130,1
1NLI,cached_selected,data/raw/pdb_cache/1NLI.cif,https://files.rcsb.org/download/1NLI.cif,A,248,1
1SI9,cached_selected,data/raw/pdb_cache/1SI9.cif,https://files.rcsb.org/download/1SI9.cif,A,106,1
1UGG,cached_selected,data/raw/pdb_cache/1UGG.cif,https://files.rcsb.org/download/1UGG.cif,A,258,1
1GQ4,cached_selected,data/raw/pdb_cache/1GQ4.cif,https://files.rcsb.org/download/1GQ4.cif,A,90,1
1VZE,cached_selected,data/raw/pdb_cache/1VZE.cif,https://files.rcsb.org/download/1VZE.cif,A,317,1
1JGE,cached_selected,data/raw/pdb_cache/1JGE.cif,https://files.rcsb.org/download/1JGE.cif,A,276,1
1WS8,cached_selected,data/raw/pdb_cache/1WS8.cif,https://files.rcsb.org/download/1WS8.cif,A,104,1
1VI3,cached_selected,data/raw/pdb_cache/1VI3.cif,https://files.rcsb.org/download/1VI3.cif,A,160,1
1JOS,cached_selected,data/raw/pdb_cache/1JOS.cif,https://files.rcsb.org/download/1JOS.cif,A,100,1
1B93,cached_selected,data/raw/pdb_cache/1B93.cif,https://files.rcsb.org/download/1B93.cif,B,151,1
2A2O,cached_selected,data/raw/pdb_cache/2A2O.cif,https://files.rcsb.org/download/2A2O.cif,A,230,1
1FWM,cached_selected,data/raw/pdb_cache/1FWM.cif,https://files.rcsb.org/download/1FWM.cif,A,265,1
1ENX,cached_selected,data/raw/pdb_cache/1ENX.cif,https://files.rcsb.org/download/1ENX.cif,A,190,1
1QIU,cached_selected,data/raw/pdb_cache/1QIU.cif,https://files.rcsb.org/download/1QIU.cif,A,264,1
1BGC,cached_selected,data/raw/pdb_cache/1BGC.cif,https://files.rcsb.org/download/1BGC.cif,A,158,1
1T9F,cached_selected,data/raw/pdb_cache/1T9F.cif,https://files.rcsb.org/download/1T9F.cif,A,178,1
1URR,cached_selected,data/raw/pdb_cache/1URR.cif,https://files.rcsb.org/download/1URR.cif,A,97,1
1AFS,cached_selected,data/raw/pdb_cache/1AFS.cif,https://files.rcsb.org/download/1AFS.cif,A,319,1
1O97,cached_selected,data/raw/pdb_cache/1O97.cif,https://files.rcsb.org/download/1O97.cif,D,315,1
1J3M,cached_selected,data/raw/pdb_cache/1J3M.cif,https://files.rcsb.org/download/1J3M.cif,A,127,1
1KZE,cached_selected,data/raw/pdb_cache/1KZE.cif,https://files.rcsb.org/download/1KZE.cif,2,114,1
2B8W,cached_selected,data/raw/pdb_cache/2B8W.cif,https://files.rcsb.org/download/2B8W.cif,B,290,1
1JL6,cached_selected,data/raw/pdb_cache/1JL6.cif,https://files.rcsb.org/download/1JL6.cif,A,147,1
1SBZ,cached_selected,data/raw/pdb_cache/1SBZ.cif,https://files.rcsb.org/download/1SBZ.cif,D,185,1
1TDH,cached_selected,data/raw/pdb_cache/1TDH.cif,https://files.rcsb.org/download/1TDH.cif,A,284,1
1MZL,cached_selected,data/raw/pdb_cache/1MZL.cif,https://files.rcsb.org/download/1MZL.cif,A,93,1
1U6H,cached_selected,data/raw/pdb_cache/1U6H.cif,https://files.rcsb.org/download/1U6H.cif,A,252,1
1XYO,cached_selected,data/raw/pdb_cache/1XYO.cif,https://files.rcsb.org/download/1XYO.cif,A,190,1
1S2W,cached_selected,data/raw/pdb_cache/1S2W.cif,https://files.rcsb.org/download/1S2W.cif,A,258,1
1GSI,cached_selected,data/raw/pdb_cache/1GSI.cif,https://files.rcsb.org/download/1GSI.cif,A,208,1
1I76,cached_selected,data/raw/pdb_cache/1I76.cif,https://files.rcsb.org/download/1I76.cif,A,165,1
1KTS,cached_selected,data/raw/pdb_cache/1KTS.cif,https://files.rcsb.org/download/1KTS.cif,B,252,1
1CAL,cached_selected,data/raw/pdb_cache/1CAL.cif,https://files.rcsb.org/download/1CAL.cif,A,258,1
1VB0,cached_selected,data/raw/pdb_cache/1VB0.cif,https://files.rcsb.org/download/1VB0.cif,A,61,1
1JPG,cached_selected,data/raw/pdb_cache/1JPG.cif,https://files.rcsb.org/download/1JPG.cif,A,275,1
1ZIA,cached_selected,data/raw/pdb_cache/1ZIA.cif,https://files.rcsb.org/download/1ZIA.cif,A,124,1
1P2Q,cached_selected,data/raw/pdb_cache/1P2Q.cif,https://files.rcsb.org/download/1P2Q.cif,A,239,1
1BCO,cached_selected,data/raw/pdb_cache/1BCO.cif,https://files.rcsb.org/download/1BCO.cif,A,295,1
1RCM,cached_selected,data/raw/pdb_cache/1RCM.cif,https://files.rcsb.org/download/1RCM.cif,A,129,1
1H6G,cached_selected,data/raw/pdb_cache/1H6G.cif,https://files.rcsb.org/download/1H6G.cif,A,256,1
1V8K,cached_selected,data/raw/pdb_cache/1V8K.cif,https://files.rcsb.org/download/1V8K.cif,A,332,1
1Y63,cached_selected,data/raw/pdb_cache/1Y63.cif,https://files.rcsb.org/download/1Y63.cif,A,168,1
1N8O,cached_selected,data/raw/pdb_cache/1N8O.cif,https://files.rcsb.org/download/1N8O.cif,E,136,1
1BH2,cached_selected,data/raw/pdb_cache/1BH2.cif,https://files.rcsb.org/download/1BH2.cif,A,315,1
1GHY,cached_selected,data/raw/pdb_cache/1GHY.cif,https://files.rcsb.org/download/1GHY.cif,H,251,1
1FIM,cached_selected,data/raw/pdb_cache/1FIM.cif,https://files.rcsb.org/download/1FIM.cif,A,103,1
1C7B,cached_selected,data/raw/pdb_cache/1C7B.cif,https://files.rcsb.org/download/1C7B.cif,B,146,1
1L95,cached_selected,data/raw/pdb_cache/1L95.cif,https://files.rcsb.org/download/1L95.cif,A,162,1
200L,cached_selected,data/raw/pdb_cache/200L.cif,https://files.rcsb.org/download/200L.cif,A,162,1
1EQ2,cached_selected,data/raw/pdb_cache/1EQ2.cif,https://files.rcsb.org/download/1EQ2.cif,D,307,1
1JF0,cached_selected,data/raw/pdb_cache/1JF0.cif,https://files.rcsb.org/download/1JF0.cif,A,192,1
1M4V,cached_selected,data/raw/pdb_cache/1M4V.cif,https://files.rcsb.org/download/1M4V.cif,B,197,1
1UJK,cached_selected,data/raw/pdb_cache/1UJK.cif,https://files.rcsb.org/download/1UJK.cif,A,145,1
1Q3K,cached_selected,data/raw/pdb_cache/1Q3K.cif,https://files.rcsb.org/download/1Q3K.cif,A,259,1
1KJT,cached_selected,data/raw/pdb_cache/1KJT.cif,https://files.rcsb.org/download/1KJT.cif,A,114,1
1I0R,cached_selected,data/raw/pdb_cache/1I0R.cif,https://files.rcsb.org/download/1I0R.cif,B,168,1
1DPF,cached_selected,data/raw/pdb_cache/1DPF.cif,https://files.rcsb.org/download/1DPF.cif,A,178,1
1AGB,cached_selected,data/raw/pdb_cache/1AGB.cif,https://files.rcsb.org/download/1AGB.cif,A,276,1
2AQT,cached_selected,data/raw/pdb_cache/2AQT.cif,https://files.rcsb.org/download/2AQT.cif,C,155,1
1WVT,cached_selected,data/raw/pdb_cache/1WVT.cif,https://files.rcsb.org/download/1WVT.cif,A,148,1
1GQ7,cached_selected,data/raw/pdb_cache/1GQ7.cif,https://files.rcsb.org/download/1GQ7.cif,A,301,1
1LBU,cached_selected,data/raw/pdb_cache/1LBU.cif,https://files.rcsb.org/download/1LBU.cif,A,213,1
1QA7,cached_selected,data/raw/pdb_cache/1QA7.cif,https://files.rcsb.org/download/1QA7.cif,B,218,1
1VCZ,cached_selected,data/raw/pdb_cache/1VCZ.cif,https://files.rcsb.org/download/1VCZ.cif,A,204,1
1FLE,cached_selected,data/raw/pdb_cache/1FLE.cif,https://files.rcsb.org/download/1FLE.cif,E,240,1
1ZDU,cached_selected,data/raw/pdb_cache/1ZDU.cif,https://files.rcsb.org/download/1ZDU.cif,A,233,1
1QYX,cached_selected,data/raw/pdb_cache/1QYX.cif,https://files.rcsb.org/download/1QYX.cif,A,277,1
1WGT,cached_selected,data/raw/pdb_cache/1WGT.cif,https://files.rcsb.org/download/1WGT.cif,A,171,1
1PN4,cached_selected,data/raw/pdb_cache/1PN4.cif,https://files.rcsb.org/download/1PN4.cif,D,273,1
1XI2,cached_selected,data/raw/pdb_cache/1XI2.cif,https://files.rcsb.org/download/1XI2.cif,A,230,1
1LXE,cached_selected,data/raw/pdb_cache/1LXE.cif,https://files.rcsb.org/download/1LXE.cif,A,92,1
1Y8C,cached_selected,data/raw/pdb_cache/1Y8C.cif,https://files.rcsb.org/download/1Y8C.cif,A,246,1
1L11,cached_selected,data/raw/pdb_cache/1L11.cif,https://files.rcsb.org/download/1L11.cif,A,164,1
1F2O,cached_selected,data/raw/pdb_cache/1F2O.cif,https://files.rcsb.org/download/1F2O.cif,A,279,1
2BD1,cached_selected,data/raw/pdb_cache/2BD1.cif,https://files.rcsb.org/download/2BD1.cif,A,125,1
1GE4,cached_selected,data/raw/pdb_cache/1GE4.cif,https://files.rcsb.org/download/1GE4.cif,A,130,1
1R1N,cached_selected,data/raw/pdb_cache/1R1N.cif,https://files.rcsb.org/download/1R1N.cif,A,309,1
1FFC,cached_selected,data/raw/pdb_cache/1FFC.cif,https://files.rcsb.org/download/1FFC.cif,A,197,1
1KE5,cached_selected,data/raw/pdb_cache/1KE5.cif,https://files.rcsb.org/download/1KE5.cif,A,281,1
2BF8,cached_selected,data/raw/pdb_cache/2BF8.cif,https://files.rcsb.org/download/2BF8.cif,A,154,1
1TDI,cached_selected,data/raw/pdb_cache/1TDI.cif,https://files.rcsb.org/download/1TDI.cif,A,218,1
1SO5,cached_selected,data/raw/pdb_cache/1SO5.cif,https://files.rcsb.org/download/1SO5.cif,B,215,1
2AH5,cached_selected,data/raw/pdb_cache/2AH5.cif,https://files.rcsb.org/download/2AH5.cif,A,210,1
1WMI,cached_selected,data/raw/pdb_cache/1WMI.cif,https://files.rcsb.org/download/1WMI.cif,A,88,1
1BD8,cached_selected,data/raw/pdb_cache/1BD8.cif,https://files.rcsb.org/download/1BD8.cif,A,156,1
1SR7,cached_selected,data/raw/pdb_cache/1SR7.cif,https://files.rcsb.org/download/1SR7.cif,A,249,1
1I0B,cached_selected,data/raw/pdb_cache/1I0B.cif,https://files.rcsb.org/download/1I0B.cif,A,332,1
1VDN,cached_selected,data/raw/pdb_cache/1VDN.cif,https://files.rcsb.org/download/1VDN.cif,A,161,1
1ZVF,cached_selected,data/raw/pdb_cache/1ZVF.cif,https://files.rcsb.org/download/1ZVF.cif,A,176,1
1K55,cached_selected,data/raw/pdb_cache/1K55.cif,https://files.rcsb.org/download/1K55.cif,C,247,1
1LYF,cached_selected,data/raw/pdb_cache/1LYF.cif,https://files.rcsb.org/download/1LYF.cif,A,162,1
1H1S,cached_selected,data/raw/pdb_cache/1H1S.cif,https://files.rcsb.org/download/1H1S.cif,A,297,1
1KID,cached_selected,data/raw/pdb_cache/1KID.cif,https://files.rcsb.org/download/1KID.cif,A,193,1
1C9M,cached_selected,data/raw/pdb_cache/1C9M.cif,https://files.rcsb.org/download/1C9M.cif,A,271,1
1RY6,cached_selected,data/raw/pdb_cache/1RY6.cif,https://files.rcsb.org/download/1RY6.cif,A,319,1
2AOA,cached_selected,data/raw/pdb_cache/2AOA.cif,https://files.rcsb.org/download/2AOA.cif,A,93,1
1GCO,cached_selected,data/raw/pdb_cache/1GCO.cif,https://files.rcsb.org/download/1GCO.cif,A,261,1
1XR9,cached_selected,data/raw/pdb_cache/1XR9.cif,https://files.rcsb.org/download/1XR9.cif,A,276,1
1QTK,cached_selected,data/raw/pdb_cache/1QTK.cif,https://files.rcsb.org/download/1QTK.cif,A,129,1
1FHW,cached_selected,data/raw/pdb_cache/1FHW.cif,https://files.rcsb.org/download/1FHW.cif,B,126,1
1T66,cached_selected,data/raw/pdb_cache/1T66.cif,https://files.rcsb.org/download/1T66.cif,H,220,1
1SJ7,cached_selected,data/raw/pdb_cache/1SJ7.cif,https://files.rcsb.org/download/1SJ7.cif,B,170,1
1OYF,cached_selected,data/raw/pdb_cache/1OYF.cif,https://files.rcsb.org/download/1OYF.cif,A,121,1
1BNS,cached_selected,data/raw/pdb_cache/1BNS.cif,https://files.rcsb.org/download/1BNS.cif,A,108,1
1OEJ,cached_selected,data/raw/pdb_cache/1OEJ.cif,https://files.rcsb.org/download/1OEJ.cif,A,187,1
2BLX,cached_selected,data/raw/pdb_cache/2BLX.cif,https://files.rcsb.org/download/2BLX.cif,A,129,1
216L,cached_selected,data/raw/pdb_cache/216L.cif,https://files.rcsb.org/download/216L.cif,B,164,1
1WZ8,cached_selected,data/raw/pdb_cache/1WZ8.cif,https://files.rcsb.org/download/1WZ8.cif,A,263,1
1ZYB,cached_selected,data/raw/pdb_cache/1ZYB.cif,https://files.rcsb.org/download/1ZYB.cif,A,230,1
1OHJ,cached_selected,data/raw/pdb_cache/1OHJ.cif,https://files.rcsb.org/download/1OHJ.cif,A,186,1
1ZLB,cached_selected,data/raw/pdb_cache/1ZLB.cif,https://files.rcsb.org/download/1ZLB.cif,A,122,1
1Q3D,cached_selected,data/raw/pdb_cache/1Q3D.cif,https://files.rcsb.org/download/1Q3D.cif,A,339,1
1M75,cached_selected,data/raw/pdb_cache/1M75.cif,https://files.rcsb.org/download/1M75.cif,A,291,1
1V04,cached_selected,data/raw/pdb_cache/1V04.cif,https://files.rcsb.org/download/1V04.cif,A,334,1
1UAX,cached_selected,data/raw/pdb_cache/1UAX.cif,https://files.rcsb.org/download/1UAX.cif,A,211,1
1T7C,cached_selected,data/raw/pdb_cache/1T7C.cif,https://files.rcsb.org/download/1T7C.cif,A,239,1
1P6O,cached_selected,data/raw/pdb_cache/1P6O.cif,https://files.rcsb.org/download/1P6O.cif,B,163,1
1Q1L,cached_selected,data/raw/pdb_cache/1Q1L.cif,https://files.rcsb.org/download/1Q1L.cif,A,336,1
1MZJ,cached_selected,data/raw/pdb_cache/1MZJ.cif,https://files.rcsb.org/download/1MZJ.cif,A,334,1
1WEG,cached_selected,data/raw/pdb_cache/1WEG.cif,https://files.rcsb.org/download/1WEG.cif,A,225,1
1YDA,cached_selected,data/raw/pdb_cache/1YDA.cif,https://files.rcsb.org/download/1YDA.cif,A,255,1
1M5Q,cached_selected,data/raw/pdb_cache/1M5Q.cif,https://files.rcsb.org/download/1M5Q.cif,H,128,1
1IN8,cached_selected,data/raw/pdb_cache/1IN8.cif,https://files.rcsb.org/download/1IN8.cif,A,298,1
1IR7,cached_selected,data/raw/pdb_cache/1IR7.cif,https://files.rcsb.org/download/1IR7.cif,A,129,1
1QQL,cached_selected,data/raw/pdb_cache/1QQL.cif,https://files.rcsb.org/download/1QQL.cif,A,131,1
1M66,cached_selected,data/raw/pdb_cache/1M66.cif,https://files.rcsb.org/download/1M66.cif,A,347,1
1CYY,cached_selected,data/raw/pdb_cache/1CYY.cif,https://files.rcsb.org/download/1CYY.cif,B,251,1
1IN4,cached_selected,data/raw/pdb_cache/1IN4.cif,https://files.rcsb.org/download/1IN4.cif,A,298,1
1V1K,cached_selected,data/raw/pdb_cache/1V1K.cif,https://files.rcsb.org/download/1V1K.cif,A,277,1
1LY8,cached_selected,data/raw/pdb_cache/1LY8.cif,https://files.rcsb.org/download/1LY8.cif,A,341,1
1FXA,cached_selected,data/raw/pdb_cache/1FXA.cif,https://files.rcsb.org/download/1FXA.cif,A,98,1
1IEC,cached_selected,data/raw/pdb_cache/1IEC.cif,https://files.rcsb.org/download/1IEC.cif,B,219,1
1PVW,cached_selected,data/raw/pdb_cache/1PVW.cif,https://files.rcsb.org/download/1PVW.cif,A,220,1
1GFV,cached_selected,data/raw/pdb_cache/1GFV.cif,https://files.rcsb.org/download/1GFV.cif,A,130,1
1ZRQ,cached_selected,data/raw/pdb_cache/1ZRQ.cif,https://files.rcsb.org/download/1ZRQ.cif,B,287,1
1W3I,cached_selected,data/raw/pdb_cache/1W3I.cif,https://files.rcsb.org/download/1W3I.cif,A,294,1
1DEL,cached_selected,data/raw/pdb_cache/1DEL.cif,https://files.rcsb.org/download/1DEL.cif,A,241,1
1EV9,cached_selected,data/raw/pdb_cache/1EV9.cif,https://files.rcsb.org/download/1EV9.cif,A,219,1
1MLF,cached_selected,data/raw/pdb_cache/1MLF.cif,https://files.rcsb.org/download/1MLF.cif,A,154,1
1WV8,cached_selected,data/raw/pdb_cache/1WV8.cif,https://files.rcsb.org/download/1WV8.cif,A,71,1
1RYP,cached_selected,data/raw/pdb_cache/1RYP.cif,https://files.rcsb.org/download/1RYP.cif,B,250,1
1DG8,cached_selected,data/raw/pdb_cache/1DG8.cif,https://files.rcsb.org/download/1DG8.cif,A,159,1
1IGB,cached_selected,data/raw/pdb_cache/1IGB.cif,https://files.rcsb.org/download/1IGB.cif,A,291,1
1ZYT,cached_selected,data/raw/pdb_cache/1ZYT.cif,https://files.rcsb.org/download/1ZYT.cif,A,164,1
1LUC,cached_selected,data/raw/pdb_cache/1LUC.cif,https://files.rcsb.org/download/1LUC.cif,A,326,1
1KW5,cached_selected,data/raw/pdb_cache/1KW5.cif,https://files.rcsb.org/download/1KW5.cif,A,162,1
1IV3,cached_selected,data/raw/pdb_cache/1IV3.cif,https://files.rcsb.org/download/1IV3.cif,A,150,1
1FUS,cached_selected,data/raw/pdb_cache/1FUS.cif,https://files.rcsb.org/download/1FUS.cif,A,106,1
1BN4,cached_selected,data/raw/pdb_cache/1BN4.cif,https://files.rcsb.org/download/1BN4.cif,A,257,1
1O2V,cached_selected,data/raw/pdb_cache/1O2V.cif,https://files.rcsb.org/download/1O2V.cif,A,224,1
1IAV,cached_selected,data/raw/pdb_cache/1IAV.cif,https://files.rcsb.org/download/1IAV.cif,A,271,1
1RBE,cached_selected,data/raw/pdb_cache/1RBE.cif,https://files.rcsb.org/download/1RBE.cif,A,104,1
1PHN,cached_selected,data/raw/pdb_cache/1PHN.cif,https://files.rcsb.org/download/1PHN.cif,B,172,1
1T6Q,cached_selected,data/raw/pdb_cache/1T6Q.cif,https://files.rcsb.org/download/1T6Q.cif,B,112,1
1H8D,cached_selected,data/raw/pdb_cache/1H8D.cif,https://files.rcsb.org/download/1H8D.cif,H,251,1
1TYB,cached_selected,data/raw/pdb_cache/1TYB.cif,https://files.rcsb.org/download/1TYB.cif,E,318,1
1UT0,cached_selected,data/raw/pdb_cache/1UT0.cif,https://files.rcsb.org/download/1UT0.cif,A,154,1
1EFQ,cached_selected,data/raw/pdb_cache/1EFQ.cif,https://files.rcsb.org/download/1EFQ.cif,A,113,1
1KNU,cached_selected,data/raw/pdb_cache/1KNU.cif,https://files.rcsb.org/download/1KNU.cif,A,265,1
2BME,cached_selected,data/raw/pdb_cache/2BME.cif,https://files.rcsb.org/download/2BME.cif,A,176,1
1KAO,cached_selected,data/raw/pdb_cache/1KAO.cif,https://files.rcsb.org/download/1KAO.cif,A,167,1
1ID4,cached_selected,data/raw/pdb_cache/1ID4.cif,https://files.rcsb.org/download/1ID4.cif,B,219,1
1L4D,cached_selected,data/raw/pdb_cache/1L4D.cif,https://files.rcsb.org/download/1L4D.cif,A,249,1
1D1Z,cached_selected,data/raw/pdb_cache/1D1Z.cif,https://files.rcsb.org/download/1D1Z.cif,A,101,1
1MG6,cached_selected,data/raw/pdb_cache/1MG6.cif,https://files.rcsb.org/download/1MG6.cif,A,122,1
1F1C,cached_selected,data/raw/pdb_cache/1F1C.cif,https://files.rcsb.org/download/1F1C.cif,A,129,1
1XHC,cached_selected,data/raw/pdb_cache/1XHC.cif,https://files.rcsb.org/download/1XHC.cif,A,346,1
1PVU,cached_selected,data/raw/pdb_cache/1PVU.cif,https://files.rcsb.org/download/1PVU.cif,A,154,1
1B7I,cached_selected,data/raw/pdb_cache/1B7I.cif,https://files.rcsb.org/download/1B7I.cif,A,66,1
1INL,cached_selected,data/raw/pdb_cache/1INL.cif,https://files.rcsb.org/download/1INL.cif,C,293,1
1G0G,cached_selected,data/raw/pdb_cache/1G0G.cif,https://files.rcsb.org/download/1G0G.cif,A,162,1
1YJ3,cached_selected,data/raw/pdb_cache/1YJ3.cif,https://files.rcsb.org/download/1YJ3.cif,A,283,1
1YNR,cached_selected,data/raw/pdb_cache/1YNR.cif,https://files.rcsb.org/download/1YNR.cif,A,80,1
1CJS,cached_selected,data/raw/pdb_cache/1CJS.cif,https://files.rcsb.org/download/1CJS.cif,A,212,1
2B3G,cached_selected,data/raw/pdb_cache/2B3G.cif,https://files.rcsb.org/download/2B3G.cif,A,117,1
1N2X,cached_selected,data/raw/pdb_cache/1N2X.cif,https://files.rcsb.org/download/1N2X.cif,A,288,1
2A0B,cached_selected,data/raw/pdb_cache/2A0B.cif,https://files.rcsb.org/download/2A0B.cif,A,118,1
1RBY,cached_selected,data/raw/pdb_cache/1RBY.cif,https://files.rcsb.org/download/1RBY.cif,A,200,1
1QCZ,cached_selected,data/raw/pdb_cache/1QCZ.cif,https://files.rcsb.org/download/1QCZ.cif,A,162,1
1KBA,cached_selected,data/raw/pdb_cache/1KBA.cif,https://files.rcsb.org/download/1KBA.cif,A,66,1
1YDB,cached_selected,data/raw/pdb_cache/1YDB.cif,https://files.rcsb.org/download/1YDB.cif,A,255,1
1W5O,cached_selected,data/raw/pdb_cache/1W5O.cif,https://files.rcsb.org/download/1W5O.cif,A,329,1
1BGP,cached_selected,data/raw/pdb_cache/1BGP.cif,https://files.rcsb.org/download/1BGP.cif,A,310,1
1O6D,cached_selected,data/raw/pdb_cache/1O6D.cif,https://files.rcsb.org/download/1O6D.cif,A,147,1
1YT4,cached_selected,data/raw/pdb_cache/1YT4.cif,https://files.rcsb.org/download/1YT4.cif,A,263,1
1K1U,cached_selected,data/raw/pdb_cache/1K1U.cif,https://files.rcsb.org/download/1K1U.cif,B,100,1
1A1M,cached_selected,data/raw/pdb_cache/1A1M.cif,https://files.rcsb.org/download/1A1M.cif,A,278,1
1C83,cached_selected,data/raw/pdb_cache/1C83.cif,https://files.rcsb.org/download/1C83.cif,A,297,1
1WM2,cached_selected,data/raw/pdb_cache/1WM2.cif,https://files.rcsb.org/download/1WM2.cif,A,78,1
1S36,cached_selected,data/raw/pdb_cache/1S36.cif,https://files.rcsb.org/download/1S36.cif,A,185,1
1IM3,cached_selected,data/raw/pdb_cache/1IM3.cif,https://files.rcsb.org/download/1IM3.cif,A,275,1
1FK0,cached_selected,data/raw/pdb_cache/1FK0.cif,https://files.rcsb.org/download/1FK0.cif,A,93,1
1RAS,cached_selected,data/raw/pdb_cache/1RAS.cif,https://files.rcsb.org/download/1RAS.cif,A,123,1
1Q6L,cached_selected,data/raw/pdb_cache/1Q6L.cif,https://files.rcsb.org/download/1Q6L.cif,B,215,1
1MEJ,cached_selected,data/raw/pdb_cache/1MEJ.cif,https://files.rcsb.org/download/1MEJ.cif,B,201,1
1FK6,cached_selected,data/raw/pdb_cache/1FK6.cif,https://files.rcsb.org/download/1FK6.cif,A,93,1
1KUI,cached_selected,data/raw/pdb_cache/1KUI.cif,https://files.rcsb.org/download/1KUI.cif,A,201,1
1F2P,cached_selected,data/raw/pdb_cache/1F2P.cif,https://files.rcsb.org/download/1F2P.cif,A,276,1
1C46,cached_selected,data/raw/pdb_cache/1C46.cif,https://files.rcsb.org/download/1C46.cif,A,131,1
1CDE,cached_selected,data/raw/pdb_cache/1CDE.cif,https://files.rcsb.org/download/1CDE.cif,A,210,1
1CBJ,cached_selected,data/raw/pdb_cache/1CBJ.cif,https://files.rcsb.org/download/1CBJ.cif,A,151,1
1G0F,cached_selected,data/raw/pdb_cache/1G0F.cif,https://files.rcsb.org/download/1G0F.cif,A,258,1
1VKD,cached_selected,data/raw/pdb_cache/1VKD.cif,https://files.rcsb.org/download/1VKD.cif,A,327,1
1RNJ,cached_selected,data/raw/pdb_cache/1RNJ.cif,https://files.rcsb.org/download/1RNJ.cif,A,140,1
1LOY,cached_selected,data/raw/pdb_cache/1LOY.cif,https://files.rcsb.org/download/1LOY.cif,A,105,1
