t,score,contact_f1,dist_rmse,auric_penalty,ph_rms,ph_max,tp,fp,fn,seed,codec,beam,K,cutoff,min_sep,auric_m,auric_every,w_contact,w_rmse,wA,wB
27,-0.6890098757081509,0.9259259259259259,1.110570114376276,0.5043656872578007,9.778717038430859,16.31521042785813,25,2,2,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
28,-0.7672476464851531,0.8813559322033899,1.1442378914307423,0.5043656872578007,9.977265435467404,16.31408591589056,26,4,3,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
29,-0.8218555182397563,0.8823529411764706,1.1998427721584262,0.5043656872578007,9.113185698182198,15.537979638100627,30,4,4,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
30,-0.8264173634768766,0.868421052631579,1.2040861376083347,0.4907522785001209,9.193195827965555,15.58170965341081,33,5,5,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
31,-0.8105897175972281,0.8723404255319149,1.1921778646290222,0.4907522785001209,9.19426984286988,15.643615729235098,41,5,7,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
32,-0.8116768498385665,0.8703703703703703,1.191294941708816,0.4907522785001209,9.354665127992872,15.58177101737788,47,7,7,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
33,-0.8144957923565099,0.864406779661017,1.1943507525678594,0.4845518194496675,9.725096789173378,16.98126769329478,51,7,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
34,-0.7860643375578202,0.8709677419354839,1.1724802600436366,0.4845518194496675,9.730082544270479,16.80120459380629,54,7,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
35,-0.8324700160945009,0.8730158730158729,1.150309234124101,0.5551766549862728,9.710657570929861,16.831864924464004,55,7,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
36,-0.8081233448483227,0.8750000000000001,1.12794668986205,0.5551766549862728,9.62728703459865,16.8224229685278,56,7,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
37,-0.804980678918034,0.8769230769230768,1.126727100854838,0.5551766549862728,9.58047761039865,16.799602861499956,57,7,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
38,-0.8083255374443201,0.8636363636363636,1.116785246094411,0.5551766549862728,9.75547491584988,17.49581928586545,57,9,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
39,-0.8024806507991307,0.8633093525179856,1.1173906951064327,0.5483993082106835,10.915907155123476,19.340816762703746,60,10,9,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
40,-0.8094700063671895,0.8428571428571429,1.0807797653247984,0.571547383899534,9.778711550511849,14.266623519638246,59,11,11,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
41,-0.7953390947826572,0.851063829787234,1.0863498399354008,0.5600530846344904,11.788528537575544,24.960218276639743,60,11,10,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
42,-0.7955329005457615,0.8531468531468532,1.0886266690581243,0.5600530846344904,12.533201393245747,29.940445987213522,61,11,10,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
43,-0.7850002784928144,0.8571428571428571,1.082090051001181,0.5600530846344904,11.622781846645623,19.597431464288302,66,11,11,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
44,-0.7766523821055511,0.8536585365853657,1.0661874102577995,0.5641235084331173,9.374455164612348,17.650654474629025,70,11,13,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
45,-0.7041363299681285,0.850828729281768,1.0657920565141255,0.48917300273577097,13.307139507908271,27.206783679933725,77,15,12,0,pair72,64,32,8.0,3,8,5,1.0,1.0,0.2,0.2
